name,zone,zipcode,star,rating,rates,checkin,checkout,room,size,price,bed,guests,address,link
Four Seasons Hotel Los Angeles at Westlake Village,Westlake Village,91362,5,4.8,478,04/21/2017,04/22/2017,"Deluxe Room, 2 Double Beds, Accessible",450,281,2 Double Beds,3,Dole Dr,https://www.expedia.com/Westlake-Village-Hotels-Four-Seasons-Hotel-Los-Angeles-At-Westlake-Village.h1551334.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=264.78&exp_ts=1492738951632&exp_curr=USD&exp_pg=HSR
Four Seasons Hotel Los Angeles at Westlake Village,Westlake Village,91362,5,4.8,478,04/21/2017,04/22/2017,"Deluxe Room, 2 Double Beds, Accessible",450,288,2 Double Beds,3,Dole Dr,https://www.expedia.com/Westlake-Village-Hotels-Four-Seasons-Hotel-Los-Angeles-At-Westlake-Village.h1551334.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=264.78&exp_ts=1492738951632&exp_curr=USD&exp_pg=HSR
Four Seasons Hotel Los Angeles at Westlake Village,Westlake Village,91362,5,4.8,478,04/21/2017,04/22/2017,Hearing Accessible Deluxe Room Double Beds,450,281,2 Double Beds,3,Dole Dr,https://www.expedia.com/Westlake-Village-Hotels-Four-Seasons-Hotel-Los-Angeles-At-Westlake-Village.h1551334.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=264.78&exp_ts=1492738951632&exp_curr=USD&exp_pg=HSR
Four Seasons Hotel Los Angeles at Westlake Village,Westlake Village,91362,5,4.8,478,04/21/2017,04/22/2017,Hearing Accessible Deluxe Room Double Beds,450,288,2 Double Beds,3,Dole Dr,https://www.expedia.com/Westlake-Village-Hotels-Four-Seasons-Hotel-Los-Angeles-At-Westlake-Village.h1551334.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=264.78&exp_ts=1492738951632&exp_curr=USD&exp_pg=HSR
Four Seasons Hotel Los Angeles at Westlake Village,Westlake Village,91362,5,4.8,478,04/21/2017,04/22/2017,"Studio Suite, 1 King Bed, Corner",644,497,1 King Bed,4,Dole Dr,https://www.expedia.com/Westlake-Village-Hotels-Four-Seasons-Hotel-Los-Angeles-At-Westlake-Village.h1551334.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=264.78&exp_ts=1492738951632&exp_curr=USD&exp_pg=HSR
Four Seasons Hotel Los Angeles at Westlake Village,Westlake Village,91362,5,4.8,478,04/21/2017,04/22/2017,"Studio Suite, 1 King Bed, Corner",644,509,1 King Bed,4,Dole Dr,https://www.expedia.com/Westlake-Village-Hotels-Four-Seasons-Hotel-Los-Angeles-At-Westlake-Village.h1551334.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=264.78&exp_ts=1492738951632&exp_curr=USD&exp_pg=HSR
Four Seasons Hotel Los Angeles at Westlake Village,Westlake Village,91362,5,4.8,478,04/21/2017,04/22/2017,"Suite, 1 Bedroom, Corner (Westlake)",1025,867,1 King Bed,4,Dole Dr,https://www.expedia.com/Westlake-Village-Hotels-Four-Seasons-Hotel-Los-Angeles-At-Westlake-Village.h1551334.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=264.78&exp_ts=1492738951632&exp_curr=USD&exp_pg=HSR
Four Seasons Hotel Los Angeles at Westlake Village,Westlake Village,91362,5,4.8,478,04/21/2017,04/22/2017,"Suite, 1 Bedroom, Corner (Westlake)",1025,888,1 King Bed,4,Dole Dr,https://www.expedia.com/Westlake-Village-Hotels-Four-Seasons-Hotel-Los-Angeles-At-Westlake-Village.h1551334.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=264.78&exp_ts=1492738951632&exp_curr=USD&exp_pg=HSR
LEVEL Furnished Living Suites,Downtown Los Angeles,90014,4.5,4.7,302,04/21/2017,04/22/2017,"Suite, 1 Bedroom (Corporate)",712,339,1 King Bed and 1 Double Sofa Bed,4,S. Olive St,https://www.expedia.com/Los-Angeles-Hotels-LEVEL-Furnished-Living-Suites.h10649672.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=339.37&exp_ts=1492738951634&exp_curr=USD&exp_pg=HSR
LEVEL Furnished Living Suites,Downtown Los Angeles,90014,4.5,4.7,302,04/21/2017,04/22/2017,"Suite, 1 Bedroom",850,382,1 King Bed and 1 Double Sofa Bed,4,S. Olive St,https://www.expedia.com/Los-Angeles-Hotels-LEVEL-Furnished-Living-Suites.h10649672.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=339.37&exp_ts=1492738951634&exp_curr=USD&exp_pg=HSR
LEVEL Furnished Living Suites,Downtown Los Angeles,90014,4.5,4.7,302,04/21/2017,04/22/2017,"Suite, 2 Bedrooms (Corporate)",850,424,"1 King Bed, 1 Queen Bed and 1 Double Sofa Bed",6,S. Olive St,https://www.expedia.com/Los-Angeles-Hotels-LEVEL-Furnished-Living-Suites.h10649672.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=0&hwrqCacheKey=7fa5c8f5-2a0d-409a-a5dd-793664700e26HWRQ1492738949587&vip=false&c=ba176105-5c89-4d01-a940-d83eede54ba4&&exp_dp=339.37&exp_ts=1492738951634&exp_curr=USD&exp_pg=HSR
